id,checkpoint_action_id,parameter_key,parameter_value,parameter_value_type,parameter_type,scope,create_time,update_time
2087367849850531841,1786502242643,agvMapId,zidonghuaceshi,String,NORMAL_PARAMETER,1,2026-08-12 10:37:31,2026-08-12 10:37:31
2087367849850531842,1786502242643,markerCode,1,String,NORMAL_PARAMETER,1,2026-08-12 10:37:31,2026-08-12 10:37:31
2087368604158357506,1786502425100,agvMapId,zidonghuaceshi,String,NORMAL_PARAMETER,1,2026-08-12 10:40:31,2026-08-12 10:40:31
2087368604158357507,1786502425100,markerCode,2,String,NORMAL_PARAMETER,1,2026-08-12 10:40:31,2026-08-12 10:40:31
2087368706792976385,1786502451795,agvMapId,zidonghuaceshi,String,NORMAL_PARAMETER,1,2026-08-12 10:40:55,2026-08-12 10:40:55
2087368706792976386,1786502451795,markerCode,3,String,NORMAL_PARAMETER,1,2026-08-12 10:40:55,2026-08-12 10:40:55
2087368821435887617,1786502478210,agvMapId,zidonghuaceshi,String,NORMAL_PARAMETER,1,2026-08-12 10:41:23,2026-08-12 10:41:23
2087368821435887618,1786502478210,markerCode,4,String,NORMAL_PARAMETER,1,2026-08-12 10:41:23,2026-08-12 10:41:23
2087368926033440769,1786502503976,agvMapId,zidonghuaceshi,String,NORMAL_PARAMETER,1,2026-08-12 10:41:48,2026-08-12 10:41:48
2087368926033440770,1786502503976,markerCode,5,String,NORMAL_PARAMETER,1,2026-08-12 10:41:48,2026-08-12 10:41:48
2089530350831218689,1787017808416,mosActionName,PTZCONTROL#visible#light_photo,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350831218690,1787017808416,cameraName,visible,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350831218691,1787017808416,needSetting,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350831218692,1787017808416,needPreset,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350831218693,1787017808416,presetId,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835412994,1787017808416,lightSwitch,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835412995,1787017808416,P,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835412996,1787017808416,T,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835412997,1787017808416,Z,1,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835412998,1787017808416,focus,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835412999,1787017808416,recordTimeVisible,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835413000,1787017808416,wiperSwitch,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835413001,1787017808416,recordTimeInfrared,0,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835413002,1787017808416,homingAction,1,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089530350835413003,1787017808416,resultData,2089529748801794050,String,NORMAL_PARAMETER,1,2026-08-18 09:50:31,2026-08-18 09:50:31
2089546238397591553,1787021608744,agvMapId,zidonghuaceshi,String,NORMAL_PARAMETER,1,2026-08-18 10:53:39,2026-08-18 10:53:39
2089546238397591554,1787021608744,markerCode,3,String,NORMAL_PARAMETER,1,2026-08-18 10:53:39,2026-08-18 10:53:39
