id,checkpoint_action_id,checkpoint_record_id,mission_id,mission_plan_id,point_code,sequence,parameters,status,result_code,result_data,action_type,name,item_codes,create_time,update_time
2087369730727440385,1786502242643,2087369730643554306,2087369728617705474,2087369728617705474_20260812104458,qidian,,"{""markerCode"":""1"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 10:44:59,2026-08-12 10:45:02
2087369741808791554,1786502478210,2087369741729099778,2087369728617705474,2087369728617705474_20260812104458,gouhezhongdian,,"{""markerCode"":""4"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 10:45:02,2026-08-12 10:45:27
2087369940539109378,1786502478210,2087369940467806209,2087369936210587650,2087369936210587650_20260812104548,gouhezhongdian,,"{""markerCode"":""4"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 10:45:49,2026-08-12 10:45:58
2087369977289601026,1786502242643,2087369977214103553,2087369936210587650,2087369936210587650_20260812104548,qidian,,"{""markerCode"":""1"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 10:45:58,2026-08-12 10:46:23
2087400825388888065,1786502425100,2087400825325973506,2087400817411321857,2087400817411321857_20260812124831,zhixianqidian,,"{""markerCode"":""2"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 12:48:33,2026-08-12 12:48:56
2087400920364707841,1786502503976,2087400920289210369,2087400817411321857,2087400817411321857_20260812124831,quxianzhongdian,,"{""markerCode"":""5"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 12:48:56,2026-08-12 12:49:12
2087401119258603522,1786502503976,2087401119191494658,2087401111826296834,2087401111826296834_20260812124941,quxianzhongdian,,"{""markerCode"":""5"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 12:49:43,2026-08-12 12:49:52
2087401158416625666,1786502425100,2087401158336933890,2087401111826296834,2087401111826296834_20260812124941,zhixianqidian,,"{""markerCode"":""2"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 12:49:52,2026-08-12 12:50:07
2087429392688574466,1786502478210,2087429392617271298,2087429389660286978,2087429389660286978_20260812144203,gouhezhongdian,,"{""markerCode"":""4"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 14:42:04,2026-08-12 14:42:37
2087429530609872897,1786502242643,2087429530538569730,2087429389660286978,2087429389660286978_20260812144203,qidian,,"{""markerCode"":""1"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-12 14:42:37,2026-08-12 14:43:01
2087821760953135105,1786502478210,2087821760873443329,2087821753202061313,2087821753202061313_20260813164108,gouhezhongdian,,,START,,,MOVE_SIDE_PATH,路径导航,,2026-08-13 16:41:12,2026-08-13 16:41:12
2089238052012634113,1786502242643,2089238051932942338,2089238048069988353,2089238048069988353_20260817142859,qidian,,"{""markerCode"":""1"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-17 14:29:02,2026-08-17 14:29:18
2089238152801759234,1786502242643,2089238152717873154,2089238149882523649,2089238149882523649_20260817142924,qidian,,"{""markerCode"":""1"",""agvMapId"":""zidonghuaceshi""}",SUCCESS,,,MOVE_SIDE_PATH,路径导航,,2026-08-17 14:29:26,2026-08-17 14:29:26
