id,mission_action_id,parameter_key,parameter_value,parameter_value_type,parameter_type,create_time,update_time
00280364-9a19-44d8-8888-57e764a8f871,b2cc49d0-dcac-11f0-a92f-0242ac110002,pathParamSetting,1,Integer,NORMAL_PARAMETER,2025-12-19 15:31:14,2025-12-19 15:31:14
00d25d51-c1c9-4914-81e4-f920680b9a33,9db60c0c-e61d-11f0-8548-0242ac110002,markerCode,14,String,NORMAL_PARAMETER,2025-12-31 15:52:12,2025-12-31 15:52:18
0122ff64-ce95-4fcf-ac1d-ab87e304af47,91928385-eacb-11f0-b6f4-0242ac110002,agvMapId,09ef6607-da25-11f0-b9ee-0242ac110002,String,NORMAL_PARAMETER,2026-01-06 14:47:29,2026-01-06 14:47:38
01231a9b-2630-4ad6-85e0-c0be310cb1d3,595f8f7a-dd51-11f0-905f-0242ac110002,agvMapId,09ef6607-da25-11f0-b9ee-0242ac110002,String,NORMAL_PARAMETER,2025-12-20 11:09:51,2025-12-20 15:13:28
0147a2b5-d9d2-44f5-a7e9-8f9ad55ea3a8,ffc517d2-dc84-11f0-a92f-0242ac110002,features_requested,,Integer,NORMAL_PARAMETER,2025-12-19 10:47:03,2025-12-19 10:47:13
019db3db-be02-4154-9d27-515f6ce89321,91928385-eacb-11f0-b6f4-0242ac110002,max_rotate_speed,,Double,NORMAL_PARAMETER,2026-01-06 14:47:29,2026-01-06 14:47:38
01c38554-fbc6-4d3b-aee9-3b4e793fe2d4,ee78f4bb-dc89-11f0-a92f-0242ac110002,D,,Double,NORMAL_PARAMETER,2025-12-19 11:22:22,2025-12-19 11:22:28
01da0050-fca4-432c-a4bb-42b28781eab8,3f6c6409-dcb5-11f0-a92f-0242ac110002,safety,1,Integer,NORMAL_PARAMETER,2025-12-19 16:32:26,2025-12-19 16:32:26
027642cc-691d-4774-99e3-9aad7d513d5f,3279b256-53f4-11f1-9b5e-0242ac110002,P,,Double,NORMAL_PARAMETER,2026-05-20 10:32:51,2026-05-20 10:33:00
0278801a-0eb2-4d99-9ffe-bef7aa45a266,c8471eeb-e071-11f0-8bc0-0242ac110002,agvMapId,281dcf03-e066-11f0-8bc0-0242ac110002,String,NORMAL_PARAMETER,2025-12-24 10:39:34,2025-12-24 12:47:38
02aad2e3-0516-4f14-bb9f-db75ed21243d,1832ffa7-53f4-11f1-9b5e-0242ac110002,fall_prevent,,Integer,NORMAL_PARAMETER,2026-05-20 10:32:07,2026-05-20 10:32:07
02e50a5b-e406-4398-8805-3e1bca23a598,ee78f4bb-dc89-11f0-a92f-0242ac110002,fall_prevent,,Integer,NORMAL_PARAMETER,2025-12-19 11:22:22,2025-12-19 11:22:28
0366fb03-b284-4119-a4c0-41b198fde7b5,caab7b0b-d973-11f0-af13-0242ac110002,max_rotate_speed,,Double,NORMAL_PARAMETER,2025-12-15 13:06:19,2025-12-15 13:06:19
03b9c46c-920e-41eb-bd19-af1871c5cfce,d268e5ba-e206-11f0-8a89-0242ac110002,max_rotate_speed,,Double,NORMAL_PARAMETER,2025-12-26 10:58:58,2025-12-26 10:59:02
03c50045-d45d-438d-b55f-2bd600204684,b31c84cb-dcac-11f0-a92f-0242ac110002,pathParamSetting,1,Integer,NORMAL_PARAMETER,2025-12-19 15:31:15,2025-12-19 15:31:15
03cb184e-a62f-47d2-b663-4d6a10d8241c,b9f656f0-dca1-11f0-a92f-0242ac110002,translation_acc,,Double,NORMAL_PARAMETER,2025-12-19 14:12:42,2025-12-19 14:12:42
