id,code,mission_id,schedule_plan_id,callback_url,name,sequence,description,status,total_mileage,message,runtime_param,interrupt,mission_work_chain_Id,mission_call_id,error_code,allocation_status,trigger_selector_id,start_time,end_time,created_by,create_time,update_time
102e0949-028e-4e68-82c1-8abd18f17b53,WM13169,5844ef46-4613-45c9-8b9d-e5148f33375b,,,切区任务,2,,SHUTDOWN,0.0,,,0,,,,ASSIGNED,,2026-06-30 14:16:25,2026-06-30 14:16:31,YOUICompass,2026-06-30 14:15:51,2026-06-30 14:16:31
1a693e84-d4c9-43ff-833d-3cc26d4e65ea,WM12962,3a33cfb7-8e71-4792-978f-7d6313ffb864,,,精定位任务,2,,SUCCESS,0.0,,,0,,,,ASSIGNED,,2026-05-20 10:38:13,2026-05-20 10:38:59,YOUICompass,2026-05-20 10:38:12,2026-05-20 10:38:59
1ed42583-7bf3-481e-ab21-6e5318cd5d6e,WM12966,337c9cf0-818f-498b-9e89-382584253cf4,,,上集成机械臂任务,2,,SUCCESS,0.0,,,0,,,,ASSIGNED,,2026-05-20 10:56:20,2026-05-20 10:58:35,YOUICompass,2026-05-20 10:56:19,2026-05-20 10:58:35
33ccc360-08ee-437f-9176-765bb83f1952,WM13186,337c9cf0-818f-498b-9e89-382584253cf4,,,上集成机械臂任务,2,,SUCCESS,0.0,,,0,,,,ASSIGNED,,2026-06-30 15:27:41,2026-06-30 15:29:07,YOUICompass,2026-06-30 15:27:41,2026-06-30 15:29:07
33dab875-b141-4a1f-b763-883cf76d8743,WM13180,e653c5a9-8756-45b7-9aa5-57da4279adaa,,,沟坎坡任务,2,,SHUTDOWN,0.0,,,0,,,,ASSIGNED,,2026-06-30 15:26:57,2026-06-30 15:27:09,YOUICompass,2026-06-30 15:26:56,2026-06-30 15:27:09
3a61f007-5031-4001-867c-cd7d637e2ecf,WM13176,2d0563d0-f31b-4789-afee-a471cf26da33,,,API任务拍照,1,,SHUTDOWN,0.0,"系统重启, 任务执行失败！","{""a"":{""id"":""1"",""operation_type"":""PTZCONTROL"",""target"":""MOS"",""operation_detail"":""CONTROL"",""action_type"":""111"",""PTZcontrol_params"":{""channel_1"":{""camera_name"":""visible"",""channel_type"":1,""photo_action"":false,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":200,""brightness"":50,""contrast"":50,""saturation"":50,""sharpness"":50,""light_inhibit_switch"":0,""focus_mode"":2,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":3,""waiting_time"":0}},""channel_2"":{""camera_name"":""visible"",""channel_type"":2,""photo_action"":true,""video_action"":false,""temp_action"":true,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":3,""waiting_time"":0}},""HIK_Camera_TypeB"":{""camera_name"":""HIK_Camera_TypeB"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":7,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":0,""waiting_time"":0}},""HIK_Camera_TypeC"":{""camera_name"":""HIK_Camera_TypeC"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":0,""waiting_time"":0}}}}}",0,,,1002,ASSIGNED,,2026-06-30 14:18:05,2026-06-30 15:03:59,YOUICompass,2026-06-30 14:18:04,2026-06-30 15:03:59
3ccd3b74-b861-4ae9-94bb-6f3aa51d04a4,WM13183,2d0563d0-f31b-4789-afee-a471cf26da33,,,API任务拍照,1,,SUCCESS,0.0,,"{""a"":{""id"":""1"",""operation_type"":""PTZCONTROL"",""target"":""MOS"",""operation_detail"":""CONTROL"",""action_type"":""111"",""PTZcontrol_params"":{""channel_1"":{""camera_name"":""visible"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":200,""brightness"":50,""contrast"":50,""saturation"":50,""sharpness"":50,""light_inhibit_switch"":0,""focus_mode"":2,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":3,""waiting_time"":0}},""channel_2"":{""camera_name"":""visible"",""channel_type"":2,""photo_action"":false,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":3,""waiting_time"":0}},""HIK_Camera_TypeB"":{""camera_name"":""HIK_Camera_TypeB"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":7,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":0,""waiting_time"":0}},""HIK_Camera_TypeC"":{""camera_name"":""HIK_Camera_TypeC"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":0,""waiting_time"":0}}}}}",0,,,,ASSIGNED,,2026-06-30 15:27:33,2026-06-30 15:27:35,YOUICompass,2026-06-30 15:27:33,2026-06-30 15:27:35
4851b8d8-ff91-47c8-bc60-48aee4777820,WM13175,2d0563d0-f31b-4789-afee-a471cf26da33,,,API任务拍照,1,,SHUTDOWN,0.0,Call run_robot_task failed,"{""a"":{""id"":""1"",""operation_type"":""PTZCONTROL"",""target"":""MOS"",""operation_detail"":""CONTROL"",""action_type"":""111"",""PTZcontrol_params"":{""channel_1"":{""camera_name"":""visible"",""channel_type"":1,""photo_action"":false,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":200,""brightness"":50,""contrast"":50,""saturation"":50,""sharpness"":50,""light_inhibit_switch"":0,""focus_mode"":2,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":3,""waiting_time"":0}},""channel_2"":{""camera_name"":""visible"",""channel_type"":2,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":3,""waiting_time"":0}},""HIK_Camera_TypeB"":{""camera_name"":""HIK_Camera_TypeB"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":7,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":0,""waiting_time"":0}},""HIK_Camera_TypeC"":{""camera_name"":""HIK_Camera_TypeC"",""channel_type"":1,""photo_action"":true,""video_action"":false,""temp_action"":false,""expert_temp_action"":false,""param_type"":1,""setting_action"":false,""preset_action"":false,""params"":{""P"":0,""T"":0,""Z"":0,""focus"":0,""iris"":0,""brightness"":0,""contrast"":0,""saturation"":0,""sharpness"":0,""light_inhibit_switch"":0,""focus_mode"":0,""noise_mode"":0,""noise_level"":0,""spectral_level"":0,""temporal_level"":0,""defog_mode"":0,""light_switch"":0,""wiper_switch"":0,""record_time"":0,""preset_id"":0,""waiting_time"":0}}}}}",0,,,1002,ASSIGNED,,2026-06-30 14:17:54,2026-06-30 14:18:00,YOUICompass,2026-06-30 14:17:46,2026-06-30 14:18:00
48b5566b-b10f-4bbf-95e0-ecd89e90cbf5,WM12960,12c7a937-0602-416e-9e9d-04da9c981259,729dd5fb-c7de-4236-9c34-6e9b58d3eddc,,路径,2,,SHUTDOWN,0.0,,,0,,,,UNASSIGNED,,,2026-05-20 09:45:36,YOUICompass,2026-05-19 08:45:33,2026-05-20 09:45:36
4ba2fac5-4a7b-4662-a0ba-0d73e8a17204,WM13172,be3fe392-0275-4c52-90fb-8b6fb956bade,,,45°夹角任务,2,,SHUTDOWN,0.0,,,0,,,,ASSIGNED,,2026-06-30 14:16:37,2026-06-30 14:16:57,YOUICompass,2026-06-30 14:16:36,2026-06-30 14:16:57
