id,mission_action_id,mission_work_id,action_type,name,message,sequence,parameters,status,parameter_type,result_code,result_message,result_type,result_data,error_code,is_sub_action,this_loop_completes,start_time,end_time,action_sequence,create_time,update_time
022e7ee0-5c2e-4824-aa86-ff0b43960a9b,2c6e2eba-4f6c-11f1-8ba3-0242ac110003,c783052c-6029-4d1b-80a7-0078afd8b240,MOVE_SIDE_PATH,路径导航,,2,"{""max_translation_speed"":0.4,""markerCode"":""4"",""safety"":1,""pathParamSetting"":1,""agvMapId"":""91b7a2a8-4f61-11f1-8ba3-0242ac110003""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 16:10:39,2026-05-14 16:11:09,,2026-05-14 16:10:39,2026-05-14 16:11:09
12b00d06-be19-4b3a-8e4b-3d04f20a92c1,c59e0e83-4f6c-11f1-8ba3-0242ac110003,aea72b7e-12e4-42d8-bddf-cd67e121849f,MOVE_SIDE_PATH,路径导航,,1,"{""markerCode"":""3"",""safety"":1,""pathParamSetting"":0,""agvMapId"":""91b7a2a8-4f61-11f1-8ba3-0242ac110003""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 16:16:42,2026-05-14 16:16:42,,2026-05-14 16:16:42,2026-05-14 16:16:42
13556603-ef3f-4cbd-b275-4c19a86c6d92,e3986b9f-4f6c-11f1-8ba3-0242ac110003,aea72b7e-12e4-42d8-bddf-cd67e121849f,MOVE_SIDE_PATH,路径导航,,7,"{""markerCode"":""3"",""safety"":1,""pathParamSetting"":0,""agvMapId"":""91b7a2a8-4f61-11f1-8ba3-0242ac110003""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 16:18:15,2026-05-14 16:18:30,,2026-05-14 16:18:15,2026-05-14 16:18:30
16ea57c9-a80a-4906-890a-06dd4f5099e0,c7053761-4f6c-11f1-8ba3-0242ac110003,aea72b7e-12e4-42d8-bddf-cd67e121849f,MOVE_SIDE_PATH,路径导航,,2,"{""max_translation_speed"":0.4,""markerCode"":""5"",""safety"":1,""pathParamSetting"":1,""agvMapId"":""91b7a2a8-4f61-11f1-8ba3-0242ac110003""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 16:16:42,2026-05-14 16:17:08,,2026-05-14 16:16:42,2026-05-14 16:17:08
17a2bec3-2f3c-45b0-b761-425d8079eec7,dea9bfff-4f6c-11f1-8ba3-0242ac110003,aea72b7e-12e4-42d8-bddf-cd67e121849f,MOVE_SIDE_PATH,路径导航,,6,"{""max_translation_speed"":1.2,""markerCode"":""5"",""safety"":1,""pathParamSetting"":1,""agvMapId"":""91b7a2a8-4f61-11f1-8ba3-0242ac110003""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 16:17:59,2026-05-14 16:18:14,,2026-05-14 16:17:59,2026-05-14 16:18:14
1dd19055-2a79-4e95-8129-735ba18da32d,3b1c3a52-1d22-11f1-81c9-0242ac110002,cd8ac427-4683-487a-97fd-094a02bc4dec,MOVE_SIDE_PATH,起点,,5,"{""markerCode"":""6"",""pathParamSetting"":0,""safety_scanner_region"":0,""agvMapId"":""6e53131d-15fa-11f1-98fd-0242ac110002""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 14:25:21,2026-05-14 14:25:37,,2026-05-14 14:25:21,2026-05-14 14:25:37
27287a74-9dc7-4288-bafb-25293cb03570,49bd95d3-1d22-11f1-81c9-0242ac110002,cd8ac427-4683-487a-97fd-094a02bc4dec,MOVE_SIDE_PATH,路径导航,,7,"{""markerCode"":""6"",""pathParamSetting"":0,""safety_scanner_region"":0,""agvMapId"":""6e53131d-15fa-11f1-98fd-0242ac110002""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 14:25:52,2026-05-14 14:26:08,,2026-05-14 14:25:52,2026-05-14 14:26:08
2f8ffece-a6c8-4a3d-95f5-e051dc01625d,3fb51d85-1d22-11f1-81c9-0242ac110002,cd8ac427-4683-487a-97fd-094a02bc4dec,MOVE_SIDE_PATH,1.2速度,,6,"{""max_translation_speed"":1.2,""features_requested"":0,""markerCode"":""7"",""safety"":2,""fall_prevent"":2,""pathParamSetting"":1,""safety_scanner_region"":0,""agvMapId"":""6e53131d-15fa-11f1-98fd-0242ac110002""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 14:25:38,2026-05-14 14:25:51,,2026-05-14 14:25:38,2026-05-14 14:25:51
31bde7ef-a050-4be8-ad5a-b15e7379954b,4ec24923-4f6d-11f1-8ba3-0242ac110003,23c015aa-adf4-4c9c-b2b7-ed636dd74d49,MOVE_SIDE_PATH,路径导航,,2,"{""markerCode"":""2"",""safety"":1,""pathParamSetting"":0,""agvMapId"":""91b7a2a8-4f61-11f1-8ba3-0242ac110003""}",SUCCESS,NORMAL_PARAMETER,,,,,,0,,2026-05-14 16:19:56,2026-05-14 16:21:14,,2026-05-14 16:19:56,2026-05-14 16:21:14
3f0182ee-34a3-4694-9268-97122f861250,448fd54a-1608-11f1-98fd-0242ac110002,74b047d5-19fe-4bc4-9ac9-10d7147b292a,MOVE_SIDE_PATH,起点,路径规划错误！ 机器人脱轨！,1,"{""markerCode"":""6"",""pathParamSetting"":0,""safety_scanner_region"":0,""agvMapId"":""6e53131d-15fa-11f1-98fd-0242ac110002""}",FAULT,NORMAL_PARAMETER,,,,,0,0,,2026-05-14 14:22:33,2026-05-14 14:22:33,,2026-05-14 14:22:33,2026-05-14 14:22:33
