id,mission_id,name,action_type,sequence,description,is_sub_action,create_time,update_time
056e126e-1d22-11f1-81c9-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,起点,MOVE_SIDE_PATH,5,,0,2026-03-11 16:12:18,2026-03-11 16:13:03
08ab44d3-1d22-11f1-81c9-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,1.2速度,MOVE_SIDE_PATH,6,,0,2026-03-11 16:12:24,2026-03-11 16:13:10
1d3493a2-2438-11f1-bca1-0242ac110002,659e01f4-ccf8-458f-be55-40ff8584bbe8,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-20 16:38:05,2026-03-20 16:38:05
1e4299b8-2438-11f1-bca1-0242ac110002,659e01f4-ccf8-458f-be55-40ff8584bbe8,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-20 16:38:07,2026-03-20 16:38:07
20444ec1-186c-11f1-8bcc-0242ac110002,7f883a3c-0c98-4e1a-b4ee-e21f805ec9d4,ptz拍照,PHOTOGRAPH_VIDEO,1,,0,2026-03-05 16:20:10,2026-03-24 17:43:04
262587b5-1d22-11f1-81c9-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,路径导航,MOVE_SIDE_PATH,7,,0,2026-03-11 16:13:13,2026-03-11 16:13:13
37a27910-1d22-11f1-81c9-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,0.8速度,MOVE_SIDE_PATH,4,,0,2026-03-11 16:13:42,2026-03-11 16:13:46
3b1c3a52-1d22-11f1-81c9-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,起点,MOVE_SIDE_PATH,5,,0,2026-03-11 16:13:48,2026-03-11 16:13:53
3f644e3a-1854-11f1-8bcc-0242ac110002,0f6239a2-52c3-4f84-b4c4-0a212ae9e122,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-05 13:29:15,2026-03-05 13:29:15
3fb51d85-1d22-11f1-81c9-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,1.2速度,MOVE_SIDE_PATH,6,,0,2026-03-11 16:13:56,2026-03-11 16:14:01
407b539b-2766-11f1-9d8a-0242ac110002,7f883a3c-0c98-4e1a-b4ee-e21f805ec9d4,普通测温,PHOTOGRAPH_VIDEO,3,,0,2026-03-24 17:45:55,2026-03-24 17:46:07
40fee109-1854-11f1-8bcc-0242ac110002,0f6239a2-52c3-4f84-b4c4-0a212ae9e122,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-05 13:29:17,2026-03-05 13:29:17
448debc9-19c1-11f1-8bcc-0242ac110002,4aa45ede-d467-447b-850b-0f4ca1d9c122,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-07 09:02:09,2026-03-07 09:02:09
448fd54a-1608-11f1-98fd-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,起点,MOVE_SIDE_PATH,1,,0,2026-03-02 15:20:19,2026-03-11 16:12:41
45dc695c-19c1-11f1-8bcc-0242ac110002,4aa45ede-d467-447b-850b-0f4ca1d9c122,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-07 09:02:12,2026-03-07 09:02:12
45f88cd6-1608-11f1-98fd-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,0.4速度,MOVE_SIDE_PATH,2,,0,2026-03-02 15:20:21,2026-03-11 16:12:46
464cbf7b-1854-11f1-8bcc-0242ac110002,0f6239a2-52c3-4f84-b4c4-0a212ae9e122,路径导航,MOVE_SIDE_PATH,3,,0,2026-03-05 13:29:26,2026-03-05 13:29:26
49bd95d3-1d22-11f1-81c9-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,路径导航,MOVE_SIDE_PATH,7,,0,2026-03-11 16:14:13,2026-03-11 16:14:13
4ae1c0fb-1608-11f1-98fd-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,起点,MOVE_SIDE_PATH,3,,0,2026-03-02 15:20:30,2026-03-11 16:12:51
4b8ba0f7-19c1-11f1-8bcc-0242ac110002,4aa45ede-d467-447b-850b-0f4ca1d9c122,路径导航,MOVE_SIDE_PATH,3,,0,2026-03-07 09:02:21,2026-03-07 09:02:21
4eda26db-24cd-11f1-ba3f-0242ac110002,78974ccd-e894-49ba-9a7e-ede770363a96,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-21 10:26:04,2026-03-21 10:26:04
5068633e-24cd-11f1-ba3f-0242ac110002,78974ccd-e894-49ba-9a7e-ede770363a96,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-21 10:26:06,2026-03-21 10:26:06
59ed82b5-1608-11f1-98fd-0242ac110002,769a31f3-50a7-4b5f-a431-34f5513a0bc5,路径导航,MOVE_SIDE_PATH,3,,0,2026-03-02 15:20:55,2026-03-02 15:20:55
5abb9d5f-1d22-11f1-81c9-0242ac110002,7f883a3c-0c98-4e1a-b4ee-e21f805ec9d4,专家测温,MEASURE_TEMPERATURE,4,,0,2026-03-11 16:14:41,2026-03-25 13:34:06
6a74553c-1608-11f1-98fd-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,起点,MOVE_SIDE_PATH,1,,0,2026-03-02 15:21:23,2026-03-11 16:13:25
6ba07aae-1608-11f1-98fd-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,0.4速度,MOVE_SIDE_PATH,2,,0,2026-03-02 15:21:25,2026-03-11 16:13:29
6fc8f284-1608-11f1-98fd-0242ac110002,f5fb1dd8-fb44-46d1-aa0f-6876b08cbf1a,起点,MOVE_SIDE_PATH,3,,0,2026-03-02 15:21:32,2026-03-11 16:13:40
8626331d-1628-11f1-8fdd-0242ac110002,13321f32-e795-40c8-8fba-5fd4ccda5746,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-02 19:11:13,2026-03-02 19:11:13
8b75fb53-1628-11f1-8fdd-0242ac110002,13321f32-e795-40c8-8fba-5fd4ccda5746,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-02 19:11:22,2026-03-02 19:11:22
9b7ec6d0-1628-11f1-8fdd-0242ac110002,13321f32-e795-40c8-8fba-5fd4ccda5746,拍照录像动作 【通用】,PHOTOGRAPH_VIDEO,3,,0,2026-03-02 19:11:49,2026-03-02 19:11:49
bfea2f89-1607-11f1-98fd-0242ac110002,769a31f3-50a7-4b5f-a431-34f5513a0bc5,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-02 15:16:37,2026-03-02 15:16:37
c3717839-2763-11f1-9d8a-0242ac110002,4aa45ede-d467-447b-850b-0f4ca1d9c122,特殊区域终点,MOVE_SIDE_PATH,4,,0,2026-03-24 17:28:06,2026-03-24 17:28:15
c88647cc-2765-11f1-9d8a-0242ac110002,7f883a3c-0c98-4e1a-b4ee-e21f805ec9d4,预置点拍照,PHOTOGRAPH_VIDEO,2,,0,2026-03-24 17:42:33,2026-03-24 17:42:58
c8cbd69f-1607-11f1-98fd-0242ac110002,769a31f3-50a7-4b5f-a431-34f5513a0bc5,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-02 15:16:51,2026-03-02 15:16:51
ca306ae3-2763-11f1-9d8a-0242ac110002,4aa45ede-d467-447b-850b-0f4ca1d9c122,特殊区域终点,MOVE_SIDE_PATH,5,,0,2026-03-24 17:28:17,2026-03-24 17:30:23
d414c464-15fa-11f1-9f1e-0242ac110002,ab58beb0-d8bf-48d1-8e68-26569d886dd2,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-02 13:44:07,2026-03-02 13:44:07
d542bac2-185d-11f1-8bcc-0242ac110002,d9ba9cd5-53b1-48c5-a471-bc6a8c36a0f2,路径导航,MOVE_SIDE_PATH,1,,0,2026-03-05 14:37:51,2026-03-05 14:37:51
da2faf0d-15fa-11f1-9f1e-0242ac110002,ab58beb0-d8bf-48d1-8e68-26569d886dd2,路径导航,MOVE_SIDE_PATH,2,,0,2026-03-02 13:44:17,2026-03-02 13:44:17
fb95738e-1d21-11f1-81c9-0242ac110002,66fae2d4-462b-4b33-a392-b66e4f63cdbe,0.8速度,MOVE_SIDE_PATH,4,,0,2026-03-11 16:12:02,2026-03-11 16:12:55
