id,mission_action_id,parameter_key,parameter_value,parameter_value_type,parameter_type,create_time,update_time
000c80d9-8f23-44bc-b508-1ea42b475b3e,448debc9-19c1-11f1-8bcc-0242ac110002,markerCode,6,String,NORMAL_PARAMETER,2026-03-07 09:02:09,2026-03-07 09:02:09
00614909-4b99-4230-a54f-c1f6e3d1f777,3fb51d85-1d22-11f1-81c9-0242ac110002,max_rotate_speed,,Double,NORMAL_PARAMETER,2026-03-11 16:13:56,2026-03-11 16:14:06
01748678-8ed5-4554-83a8-1070b51207d6,c8cbd69f-1607-11f1-98fd-0242ac110002,fall_prevent,,Integer,NORMAL_PARAMETER,2026-03-02 15:16:51,2026-03-02 15:20:53
01b9a93d-b7e3-4910-a4a3-f7d3c801311f,262587b5-1d22-11f1-81c9-0242ac110002,translation_acc,,Double,NORMAL_PARAMETER,2026-03-11 16:13:13,2026-03-11 16:13:13
0246e9b1-2f26-40de-8447-319ae45f6d5e,448fd54a-1608-11f1-98fd-0242ac110002,translation_acc,,Double,NORMAL_PARAMETER,2026-03-02 15:20:19,2026-03-02 15:20:19
03451786-d977-4c4b-89c6-ecb28382fc6e,c8cbd69f-1607-11f1-98fd-0242ac110002,max_translation_speed,,Double,NORMAL_PARAMETER,2026-03-02 15:16:51,2026-03-02 15:20:53
0445c693-58c5-4a23-abd1-26ee4942f278,3f644e3a-1854-11f1-8bcc-0242ac110002,safety_scanner_region,0,Integer,NORMAL_PARAMETER,2026-03-05 13:29:15,2026-03-05 13:29:15
04ca7df3-d0d8-4041-b5bb-bafb36148367,4eda26db-24cd-11f1-ba3f-0242ac110002,safety_scanner_region,0,Integer,NORMAL_PARAMETER,2026-03-21 10:26:04,2026-03-21 10:26:04
04f5c5ae-04f2-4dd2-83c4-defb8a17cd8e,20444ec1-186c-11f1-8bcc-0242ac110002,cameras,"[{""is_capture"":1,""inspectionPoint"":"""",""camera_name"":""binocular_1"",""channel_num"":1,""set_preset"":0,""preset_num"":1,""record_time"":5,""set_param"":1,""wAction"":1,""wPanPos"":0,""wTiltPos"":0,""wZoomPos"":0,""is_homing"":1,""homing_time"":5,""sleepTime"":0,""fPan"":20,""fTilt"":20,""fZoom"":0,""dwFocus"":0,""dwFocalLen"":0,""fHorizontalSpeed"":100,""fVerticalSpeed"":100},{""is_capture"":1,""inspectionPoint"":"""",""camera_name"":""binocular_2"",""channel_num"":1,""set_preset"":0,""preset_num"":1,""record_time"":5,""set_param"":1,""wAction"":1,""wPanPos"":0,""wTiltPos"":0,""wZoomPos"":0,""is_homing"":1,""homing_time"":5,""sleepTime"":0,""fPan"":20,""fTilt"":20,""fZoom"":0,""dwFocus"":0,""dwFocalLen"":0,""fHorizontalSpeed"":100,""fVerticalSpeed"":100}]",JsonArray,NORMAL_PARAMETER,2026-03-05 16:20:10,2026-03-05 16:20:10
05d1b4d9-94b6-4ef6-8fe6-0c2d144e3712,c3717839-2763-11f1-9d8a-0242ac110002,safety_scanner_region,10,Integer,NORMAL_PARAMETER,2026-03-24 17:28:06,2026-03-24 17:28:26
05f58fdd-8e0f-49f4-9813-7e23eea32c15,3fb51d85-1d22-11f1-81c9-0242ac110002,rotate_acc,,Double,NORMAL_PARAMETER,2026-03-11 16:13:56,2026-03-11 16:14:06
06f5096d-58ad-4175-81ee-f3834a4b8f8c,49bd95d3-1d22-11f1-81c9-0242ac110002,pathParamSetting,0,Integer,NORMAL_PARAMETER,2026-03-11 16:14:13,2026-03-11 16:14:13
07d07d8b-0d9c-43c8-8409-b0c6ce4b7c31,1d3493a2-2438-11f1-bca1-0242ac110002,agvMapId,6e53131d-15fa-11f1-98fd-0242ac110002,String,NORMAL_PARAMETER,2026-03-20 16:38:05,2026-03-20 16:38:05
07f381a7-d1a4-4046-837e-7f7d6773cd2c,49bd95d3-1d22-11f1-81c9-0242ac110002,translation_acc,,Double,NORMAL_PARAMETER,2026-03-11 16:14:13,2026-03-11 16:14:13
081ff374-f719-47e5-85d6-5436b225ee6e,fb95738e-1d21-11f1-81c9-0242ac110002,agvMapId,6e53131d-15fa-11f1-98fd-0242ac110002,String,NORMAL_PARAMETER,2026-03-11 16:12:02,2026-03-11 16:12:07
095cd530-266d-4dd8-84b1-3f5520031f50,056e126e-1d22-11f1-81c9-0242ac110002,max_translation_speed,,Double,NORMAL_PARAMETER,2026-03-11 16:12:18,2026-03-11 16:12:18
0a56299f-2111-4d0b-96b1-d1c9615d60dd,d414c464-15fa-11f1-9f1e-0242ac110002,max_rotate_speed,,Double,NORMAL_PARAMETER,2026-03-02 13:44:07,2026-03-02 18:06:10
0b31b55f-a05d-48a5-9bf7-1acbd144c734,262587b5-1d22-11f1-81c9-0242ac110002,D,,Double,NORMAL_PARAMETER,2026-03-11 16:13:13,2026-03-11 16:13:13
0b459a26-0e40-45ab-b2ce-946da8fc70e4,3fb51d85-1d22-11f1-81c9-0242ac110002,safety_scanner_region,0,Integer,NORMAL_PARAMETER,2026-03-11 16:13:56,2026-03-11 16:14:06
0b8e6829-35d8-4e85-9b17-ace00675945d,c3717839-2763-11f1-9d8a-0242ac110002,translation_acc,,Double,NORMAL_PARAMETER,2026-03-24 17:28:06,2026-03-24 17:28:26
0e27775a-cdb9-40c4-8891-d3b48cd01011,ca306ae3-2763-11f1-9d8a-0242ac110002,rotate_acc,,Double,NORMAL_PARAMETER,2026-03-24 17:28:17,2026-03-24 17:30:33
0e40a91e-f8dd-494e-8924-15ce613dae52,262587b5-1d22-11f1-81c9-0242ac110002,rotate_acc,,Double,NORMAL_PARAMETER,2026-03-11 16:13:13,2026-03-11 16:13:13
0e9c9fa7-f9b9-4d15-ae2b-e11a80a721db,8626331d-1628-11f1-8fdd-0242ac110002,markerCode,3,String,NORMAL_PARAMETER,2026-03-02 19:11:13,2026-03-21 17:10:42
0f43dd0c-2baa-4842-b146-ef4b5df34331,3f644e3a-1854-11f1-8bcc-0242ac110002,markerCode,6,String,NORMAL_PARAMETER,2026-03-05 13:29:15,2026-03-05 13:29:15
0fe410f5-77e7-472e-839c-366a211b1975,37a27910-1d22-11f1-81c9-0242ac110002,markerCode,7,String,NORMAL_PARAMETER,2026-03-11 16:13:42,2026-03-11 16:14:11
106fc95f-bbe5-414e-8011-85e8403be876,1e4299b8-2438-11f1-bca1-0242ac110002,markerCode,2,String,NORMAL_PARAMETER,2026-03-20 16:38:07,2026-03-20 16:38:12
10723263-a35a-40bd-978d-5813a184c8b0,5068633e-24cd-11f1-ba3f-0242ac110002,agvMapId,464164e6-1b9c-11f1-a868-0242ac110002,String,NORMAL_PARAMETER,2026-03-21 10:26:06,2026-03-21 10:26:10
11c3b8aa-670d-493f-89ab-acc55690c58c,056e126e-1d22-11f1-81c9-0242ac110002,max_rotate_speed,,Double,NORMAL_PARAMETER,2026-03-11 16:12:18,2026-03-11 16:12:18
11da48de-69aa-4ebf-8a32-daf6ddb53197,45f88cd6-1608-11f1-98fd-0242ac110002,safety,2,Integer,NORMAL_PARAMETER,2026-03-02 15:20:21,2026-03-11 16:11:57
11eb2b7e-f772-4c5b-a2e8-31e4adc84aa1,c88647cc-2765-11f1-9d8a-0242ac110002,cameras,"[{""is_capture"":1,""inspectionPoint"":"""",""camera_name"":""binocular_1"",""channel_num"":1,""set_preset"":1,""preset_num"":1,""record_time"":5,""set_param"":0,""wAction"":1,""wPanPos"":0,""wTiltPos"":0,""wZoomPos"":0,""is_homing"":1,""homing_time"":5,""sleepTime"":0,""fPan"":20,""fTilt"":20,""fZoom"":0,""dwFocus"":0,""dwFocalLen"":0,""fHorizontalSpeed"":100,""fVerticalSpeed"":100,""is_record"":0},{""is_capture"":1,""inspectionPoint"":"""",""camera_name"":""binocular_2"",""channel_num"":1,""set_preset"":1,""preset_num"":1,""record_time"":5,""set_param"":0,""wAction"":1,""wPanPos"":0,""wTiltPos"":0,""wZoomPos"":0,""is_homing"":1,""homing_time"":5,""sleepTime"":0,""fPan"":20,""fTilt"":20,""fZoom"":0,""dwFocus"":0,""dwFocalLen"":0,""fHorizontalSpeed"":100,""fVerticalSpeed"":100,""is_record"":1}]",JsonArray,NORMAL_PARAMETER,2026-03-24 17:42:33,2026-03-24 17:43:42
120b71e4-6f44-45ab-b5a4-3593ce4a44f1,45dc695c-19c1-11f1-8bcc-0242ac110002,D,,Double,NORMAL_PARAMETER,2026-03-07 09:02:12,2026-03-07 14:30:33
12c85961-611d-445e-9ae5-dd82607dd1f6,5068633e-24cd-11f1-ba3f-0242ac110002,markerCode,3,String,NORMAL_PARAMETER,2026-03-21 10:26:06,2026-03-21 10:26:10
12ccc6f8-d6ae-48b1-8dca-afa997d7b2cb,40fee109-1854-11f1-8bcc-0242ac110002,markerCode,9,String,NORMAL_PARAMETER,2026-03-05 13:29:17,2026-03-07 14:30:03
13029fec-0bc4-450f-949e-cec3c0c78e19,1e4299b8-2438-11f1-bca1-0242ac110002,features_requested,,Integer,NORMAL_PARAMETER,2026-03-20 16:38:07,2026-03-20 16:38:12
133c95cd-62ee-4540-88b5-187b9ca6458a,da2faf0d-15fa-11f1-9f1e-0242ac110002,safety_scanner_region,0,Integer,NORMAL_PARAMETER,2026-03-02 13:44:17,2026-03-02 18:06:20
13797c07-0001-4b85-ab01-71d6fbee2ee0,1e4299b8-2438-11f1-bca1-0242ac110002,D,,Double,NORMAL_PARAMETER,2026-03-20 16:38:07,2026-03-20 16:38:12
13b2b6ec-685d-4038-8369-8d4f591b012b,4eda26db-24cd-11f1-ba3f-0242ac110002,pathParamSetting,0,Integer,NORMAL_PARAMETER,2026-03-21 10:26:04,2026-03-21 10:26:04
13d6f6da-3cbf-414e-ba1c-7c8b8a533607,d542bac2-185d-11f1-8bcc-0242ac110002,pathParamSetting,0,Integer,NORMAL_PARAMETER,2026-03-05 14:37:51,2026-03-05 14:37:51
13df5b07-b6c7-4217-bb24-a5c933b4a10b,08ab44d3-1d22-11f1-81c9-0242ac110002,pathParamSetting,1,Integer,NORMAL_PARAMETER,2026-03-11 16:12:24,2026-03-11 16:12:29
14b42283-d0e2-442c-a3d6-da1665b71359,59ed82b5-1608-11f1-98fd-0242ac110002,safety,,Integer,NORMAL_PARAMETER,2026-03-02 15:20:55,2026-03-02 15:21:01
14ca1072-7cb7-4909-99c1-9454d630dcc4,4b8ba0f7-19c1-11f1-8bcc-0242ac110002,pathParamSetting,0,Integer,NORMAL_PARAMETER,2026-03-07 09:02:21,2026-03-07 09:02:21
152009ca-8f78-49d6-91c1-01cd7e6c246c,3b1c3a52-1d22-11f1-81c9-0242ac110002,translation_acc,,Double,NORMAL_PARAMETER,2026-03-11 16:13:48,2026-03-11 16:13:48
16f8c9f0-edd0-477d-b2e6-67b72938d92f,4ae1c0fb-1608-11f1-98fd-0242ac110002,fall_prevent,,Integer,NORMAL_PARAMETER,2026-03-02 15:20:30,2026-03-02 15:20:30
1700f967-9e62-41f0-85cf-c241d79d7c65,4b8ba0f7-19c1-11f1-8bcc-0242ac110002,agvMapId,6e53131d-15fa-11f1-98fd-0242ac110002,String,NORMAL_PARAMETER,2026-03-07 09:02:21,2026-03-07 09:02:21
17503836-814e-4e98-b35a-7b9e88df3b0c,59ed82b5-1608-11f1-98fd-0242ac110002,pathParamSetting,0,Integer,NORMAL_PARAMETER,2026-03-02 15:20:55,2026-03-02 15:21:01
17f2fc74-8307-4467-bd6a-ee4f654c8605,448debc9-19c1-11f1-8bcc-0242ac110002,fall_prevent,,Integer,NORMAL_PARAMETER,2026-03-07 09:02:09,2026-03-07 09:02:09
185976ef-2e27-4ead-8033-f0f1f938fc30,448fd54a-1608-11f1-98fd-0242ac110002,markerCode,6,String,NORMAL_PARAMETER,2026-03-02 15:20:19,2026-03-02 15:20:19
18951dc3-4c1f-4c09-9e12-647e214efee9,fb95738e-1d21-11f1-81c9-0242ac110002,markerCode,8,String,NORMAL_PARAMETER,2026-03-11 16:12:02,2026-03-11 16:12:07
19f8879a-3232-4950-8f61-92ae875b1fcb,40fee109-1854-11f1-8bcc-0242ac110002,features_requested,0,Integer,NORMAL_PARAMETER,2026-03-05 13:29:17,2026-03-07 14:30:03
1a33772d-a3f0-4186-8f31-0e7ada039794,d542bac2-185d-11f1-8bcc-0242ac110002,P,,Double,NORMAL_PARAMETER,2026-03-05 14:37:51,2026-03-05 14:37:51
1b02058f-5b92-4066-a390-b35d5aabd85e,6fc8f284-1608-11f1-98fd-0242ac110002,fall_prevent,,Integer,NORMAL_PARAMETER,2026-03-02 15:21:32,2026-03-02 15:21:32
1bced31c-4489-4b03-849c-d8d9a61974c0,4ae1c0fb-1608-11f1-98fd-0242ac110002,safety_scanner_region,0,Integer,NORMAL_PARAMETER,2026-03-02 15:20:30,2026-03-02 15:20:30
1d5791a1-6a19-4ce6-b7c0-163e9c32faec,1d3493a2-2438-11f1-bca1-0242ac110002,markerCode,3,String,NORMAL_PARAMETER,2026-03-20 16:38:05,2026-03-20 16:38:05
1d6e0397-2f3c-4b4d-b074-1510ffd5ba1b,4ae1c0fb-1608-11f1-98fd-0242ac110002,pathParamSetting,0,Integer,NORMAL_PARAMETER,2026-03-02 15:20:30,2026-03-02 15:20:30
1e15fa05-67df-429b-a281-1bd4e9bd2fe9,5068633e-24cd-11f1-ba3f-0242ac110002,rotate_acc,,Double,NORMAL_PARAMETER,2026-03-21 10:26:06,2026-03-21 10:26:10
2065c5f5-29ac-4883-9040-d62cd58e2f42,4b8ba0f7-19c1-11f1-8bcc-0242ac110002,features_requested,,Integer,NORMAL_PARAMETER,2026-03-07 09:02:21,2026-03-07 09:02:21
20a6aa1e-08e2-49c8-be7b-17aff482fd6c,bfea2f89-1607-11f1-98fd-0242ac110002,markerCode,4,String,NORMAL_PARAMETER,2026-03-02 15:16:37,2026-03-02 15:20:48
